source	edge_type	target	attribute
DOID:1168	PRESENTS_DpS	D012877	3.4544193730472887
DOID:4971	PRESENTS_DpS	D012877	30.053448545511426
DOID:8538	PRESENTS_DpS	D012877	11.308455076429652
DOID:3165	PRESENTS_DpS	D012877	11.048620444303898
DOID:8622	PRESENTS_DpS	D012877	11.37826035467922
DOID:8736	PRESENTS_DpS	D012877	31.780658232035066
DOID:8543	PRESENTS_DpS	D012877	33.75429783561686
DOID:285	PRESENTS_DpS	D012877	60.63415057427742
DOID:13241	PRESENTS_DpS	D012877	7.144489059914857
DOID:4562	PRESENTS_DpS	D012877	53.42835296979807
DOID:2722	PRESENTS_DpS	D012877	30.46740789186833
DOID:1024	PRESENTS_DpS	D012877	37.337191227827965
DOID:6196	PRESENTS_DpS	D012877	78.99763617677286
DOID:12309	PRESENTS_DpS	D012877	78.99763617677286
DOID:848	PRESENTS_DpS	D012877	7.766621534233288
DOID:11335	PRESENTS_DpS	D012877	27.79369990135757
DOID:9663	PRESENTS_DpS	D012877	12.741554222060142
DOID:9088	PRESENTS_DpS	D012877	68.26956212807532
DOID:1793	PRESENTS_DpS	D012877	3.070424504372072
DOID:1525	PRESENTS_DpS	D012877	30.721302957633892
DOID:255	PRESENTS_DpS	D012877	4.662592354446965
DOID:1563	PRESENTS_DpS	D012877	17.895904635514892
DOID:813	PRESENTS_DpS	D012877	9.55066413190691
DOID:9810	PRESENTS_DpS	D012877	25.250385992575804
DOID:5093	PRESENTS_DpS	D012877	17.226898854747976
DOID:4398	PRESENTS_DpS	D057896	34.71757000903342
DOID:37	PRESENTS_DpS	D057896	50.97648709315375
DOID:5679	PRESENTS_DpS	D057896	11.853604749787955
DOID:4	PRESENTS_DpS	D057896	5.20340509071216
DOID:3947	PRESENTS_DpS	D057896	185.66352657004842
DOID:1319	PRESENTS_DpS	D057896	7.491686159844054
DOID:780	PRESENTS_DpS	D057896	31.488283764645296
DOID:8893	PRESENTS_DpS	D057896	34.71757000903342
DOID:446	PRESENTS_DpS	D057896	27.199115357395616
DOID:6543	PRESENTS_DpS	D057896	57.31894108873974
DOID:13401	PRESENTS_DpS	D057896	985.4448717948718
DOID:2738	PRESENTS_DpS	D057896	556.9905797101451
DOID:12799	PRESENTS_DpS	D008607	11.75692221801593
DOID:12580	PRESENTS_DpS	D008607	25.837887200058265
DOID:0050461	PRESENTS_DpS	D008607	52.90614998107169
DOID:1056	PRESENTS_DpS	D008607	32.9193822104446
DOID:11725	PRESENTS_DpS	D008607	32.165945645768936
DOID:14504	PRESENTS_DpS	D008607	13.856372614090205
DOID:2373	PRESENTS_DpS	D008607	14.028145828314464
DOID:11212	PRESENTS_DpS	D008607	15.928733327634484
DOID:14501	PRESENTS_DpS	D008607	34.291023135879804
DOID:1924	PRESENTS_DpS	D008607	16.937815630528515
DOID:11971	PRESENTS_DpS	D008607	13.312985452753331
DOID:2340	PRESENTS_DpS	D008607	24.17517131079525
DOID:14228	PRESENTS_DpS	D008607	10.287306940763939
DOID:14705	PRESENTS_DpS	D008607	15.430960411145909
DOID:0060655	PRESENTS_DpS	D008607	32.67732792948546
DOID:14768	PRESENTS_DpS	D008607	15.430960411145909
DOID:3211	PRESENTS_DpS	D008607	10.00927161804059
DOID:5338	PRESENTS_DpS	D008607	22.44503332530314
DOID:1928	PRESENTS_DpS	D008607	10.979721831007666
DOID:13336	PRESENTS_DpS	D008607	20.574613881527878
DOID:4501	PRESENTS_DpS	D008607	29.627443989400145
DOID:5759	PRESENTS_DpS	D008607	32.486232444517704
DOID:10892	PRESENTS_DpS	D008607	10.973127403481534
DOID:1712	PRESENTS_DpS	D008607	8.243584860712339
DOID:5212	PRESENTS_DpS	D008607	17.635383327023895
DOID:2367	PRESENTS_DpS	D008607	8.22984555261115
DOID:1929	PRESENTS_DpS	D008607	46.292881233437726
DOID:4621	PRESENTS_DpS	D008607	22.96701084449624
DOID:14447	PRESENTS_DpS	D008607	24.315452769078398
DOID:0050460	PRESENTS_DpS	D008607	28.05629165662892
DOID:5805	PRESENTS_DpS	D008607	17.145511567939902
DOID:0111169	PRESENTS_DpS	D008607	19.49173946671062
DOID:1921	PRESENTS_DpS	D008607	28.29009408710084
DOID:14692	PRESENTS_DpS	D008607	37.034304986750186
DOID:2339	PRESENTS_DpS	D008607	24.983459713283853
DOID:2581	PRESENTS_DpS	D008607	12.859133675954926
DOID:2485	PRESENTS_DpS	D008607	30.861920822291818
DOID:2476	PRESENTS_DpS	D008607	15.848013395230932
DOID:693	PRESENTS_DpS	D008607	23.146440616718863
DOID:11193	PRESENTS_DpS	D008607	29.627443989400145
DOID:12798	PRESENTS_DpS	D008607	31.71133148712553
DOID:12305	PRESENTS_DpS	D008607	9.644350256966193
DOID:1526	PRESENTS_DpS	D008607	10.734581155579763
DOID:14695	PRESENTS_DpS	D008607	21.983834010399647
DOID:14250	PRESENTS_DpS	D008607	23.72760665817761
DOID:2785	PRESENTS_DpS	D008607	17.831332030657492
DOID:12271	PRESENTS_DpS	D008607	28.05629165662892
DOID:13994	PRESENTS_DpS	D008607	9.875814663133381
DOID:1932	PRESENTS_DpS	D008607	19.41314374305453
DOID:9574	PRESENTS_DpS	D008607	23.567284991568297
DOID:14323	PRESENTS_DpS	D008607	15.834912254369627
DOID:12802	PRESENTS_DpS	D008607	31.85746665526897
DOID:10487	PRESENTS_DpS	D008607	20.100856325045328
DOID:14755	PRESENTS_DpS	D008607	20.574613881527878
DOID:3491	PRESENTS_DpS	D008607	10.806867897368178
DOID:14681	PRESENTS_DpS	D008607	16.4596911052223
DOID:687	PRESENTS_DpS	D008607	14.696152772519913
DOID:0050424	PRESENTS_DpS	D008607	9.644350256966193
DOID:206	PRESENTS_DpS	D008607	25.193404752891283
DOID:2154	PRESENTS_DpS	D008607	10.817580494411564
DOID:216	PRESENTS_DpS	D008607	9.751908066523436
DOID:14448	PRESENTS_DpS	D008607	26.45307499053585
DOID:9269	PRESENTS_DpS	D008607	24.689536657833447
DOID:0050591	PRESENTS_DpS	D008607	12.859133675954926
DOID:14261	PRESENTS_DpS	D008607	26.70674851365184
DOID:0060402	PRESENTS_DpS	D008607	19.49173946671062
DOID:14748	PRESENTS_DpS	D008607	39.93895635826
DOID:11198	PRESENTS_DpS	D008607	17.246367518339547
DOID:2043	PRESENTS_DpS	D008607	14.984978896372905
DOID:10907	PRESENTS_DpS	D008607	48.37662406268007
DOID:11383	PRESENTS_DpS	D008607	28.48792691288476
DOID:1934	PRESENTS_DpS	D008607	51.590076598457955
DOID:9263	PRESENTS_DpS	D008607	9.204432525946682
DOID:0060469	PRESENTS_DpS	D008607	19.49173946671062
DOID:9821	PRESENTS_DpS	D008607	11.573220308359431
DOID:3320	PRESENTS_DpS	D008607	54.865637017407686
DOID:5723	PRESENTS_DpS	D008607	13.58294120023023
DOID:0050453	PRESENTS_DpS	D008607	40.12049706897937
DOID:1390	PRESENTS_DpS	D008607	23.73993909407063
DOID:9281	PRESENTS_DpS	D008607	43.29047717154057
DOID:9965	PRESENTS_DpS	D008607	12.893424699090804
DOID:0050427	PRESENTS_DpS	D008607	21.16245999242868
DOID:12804	PRESENTS_DpS	D008607	26.265464529610057
DOID:10488	PRESENTS_DpS	D008607	14.552775672300207
DOID:3763	PRESENTS_DpS	D008607	11.67748355438069
DOID:12270	PRESENTS_DpS	D008607	25.527761667821625
DOID:2047	PRESENTS_DpS	D008607	27.432818508703843
DOID:9870	PRESENTS_DpS	D008607	21.983834010399647
DOID:655	PRESENTS_DpS	D008607	18.888734148760552
DOID:3413	PRESENTS_DpS	D008607	22.04422915877987
DOID:3765	PRESENTS_DpS	D008607	11.67748355438069
DOID:2729	PRESENTS_DpS	D008607	52.72244807141519
DOID:4183	PRESENTS_DpS	D008607	23.146440616718863
DOID:12801	PRESENTS_DpS	D008607	21.284083325718488
DOID:1148	PRESENTS_DpS	D008607	27.300929958181214
DOID:1930	PRESENTS_DpS	D008607	13.132732264805028
DOID:2256	PRESENTS_DpS	D008607	31.561058187198103
DOID:1923	PRESENTS_DpS	D008607	11.67748355438069
DOID:4534	PRESENTS_DpS	D008607	30.86192082229182
DOID:9250	PRESENTS_DpS	D008607	30.861920822291818
DOID:0050328	PRESENTS_DpS	D008607	22.99515669111939
DOID:1697	PRESENTS_DpS	D008607	17.789404142107074
DOID:13515	PRESENTS_DpS	D008607	15.90430275504609
DOID:2908	PRESENTS_DpS	D008607	13.32673853689874
DOID:4258	PRESENTS_DpS	D008607	18.91537082656595
DOID:10348	PRESENTS_DpS	D008607	48.98717590839971
DOID:12721	PRESENTS_DpS	D008607	31.561058187198103
DOID:9270	PRESENTS_DpS	D008607	8.513633330287396
DOID:1919	PRESENTS_DpS	D008607	19.49173946671062
DOID:0060316	PRESENTS_DpS	D008607	29.627443989400145
DOID:4624	PRESENTS_DpS	D008607	24.689536657833447
DOID:1525	PRESENTS_DpS	D008607	12.344768328916727
DOID:14693	PRESENTS_DpS	D008607	16.323660600220467
DOID:5003	PRESENTS_DpS	D008607	10.682972592331783
DOID:1099	PRESENTS_DpS	D008607	26.03974569380872
DOID:10865	PRESENTS_DpS	D008607	9.769241123603166
DOID:1700	PRESENTS_DpS	D008607	30.861920822291818
